nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.017999999999999995,-4.329194091387591e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.018399999999999996,-4.611995230565183e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.018799999999999997,-4.9522129112714446e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0192,-5.181956209033787e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0196,-5.404825857210212e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.02,-5.6206605030487574e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0204,-5.791272337144911e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.020800000000000003,-6.004498810667011e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.021200000000000004,-6.206894284347082e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.021600000000000005,-6.367716345086512e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.022000000000000006,-6.525865750977186e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.022400000000000007,-6.728213131877357e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.022800000000000008,-6.9023880233846225e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.02320000000000001,-6.974628164525937e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.02360000000000001,-6.991745259222028e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.02400000000000001,-7.034531736399562e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.024400000000000012,-7.0797497468357744e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.024800000000000013,-7.101793626676106e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.025200000000000014,-7.081315808835169e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.025600000000000015,-7.0393627549048006e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.026000000000000016,-6.942070177278955e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.026400000000000017,-6.76463518265203e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.026800000000000018,-6.542861975754799e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.02720000000000002,-6.218414006581451e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.02760000000000002,-6.0686151237866375e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.02800000000000002,-6.1111872769065726e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.028400000000000022,-6.04459385575271e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.028800000000000023,-5.977806801783433e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.029200000000000025,-5.8861135754323515e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.029600000000000026,-5.711223392344462e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.030000000000000027,-5.702435239450668e-09
