list,n_ts,n_serie,ref,sim
1,6,1,-3.927841636060384e-13,0.0
1,6,1,-1.2345896243641056e-12,2.7603855785225644e-12
1,6,1,-3.786879816246723e-11,1.1040120401901121e-11
1,6,1,-1.0152812524570346e-10,2.483493220628475e-11
1,6,1,-1.5450004639432183e-10,4.413768359711479e-11
1,6,1,-2.065544148005297e-10,6.893835622794341e-11
1,6,1,-2.609310402061441e-10,9.922403635243499e-11
1,6,1,-3.1770474638073437e-10,1.3497890176624425e-10
1,6,1,-3.7487395452361087e-10,1.7618421015486397e-10
1,6,1,-4.3251985237952976e-10,2.2281828886292227e-10
1,6,1,-4.94029959202775e-10,2.748565260997836e-10
1,6,1,-5.602692832189122e-10,3.3227136359567253e-10
1,6,1,-6.249596305412977e-10,3.9503229072189075e-10
1,6,1,-6.849820395336364e-10,4.6310584008803936e-10
1,6,1,-7.491455146540711e-10,5.364555846284903e-10
1,6,1,-8.16966555039532e-10,6.150421361896696e-10
1,6,1,-8.801003164252347e-10,6.988231456290257e-10
1,6,1,-9.479409820723831e-10,7.877533044358578e-10
1,6,1,-1.0232766260979472e-09,8.817843478834675e-10
1,6,1,-1.0922432164143044e-09,9.808650597213814e-10
1,6,1,-1.164785275758505e-09,1.0849412784156605e-09
1,6,1,-1.2412802416308407e-09,1.1939559049445805e-09
1,6,1,-1.319289596727223e-09,1.3078489121562215e-09
1,6,1,-1.4001392250456974e-09,1.426557355693747e-09
1,6,1,-1.4780336822955074e-09,1.5500153864934016e-09
1,6,1,-1.561250633927886e-09,1.6781542648594814e-09
1,6,1,-1.6430828641487107e-09,1.8109023761197558e-09
1,6,1,-1.729503101142372e-09,1.948185247864043e-09
1,6,1,-1.8158022773295383e-09,2.089925568767847e-09
1,6,1,-1.901243960341809e-09,2.236043209002176e-09
1,6,1,-1.995605536400044e-09,2.386455242229848e-09
1,6,1,-2.097528629717647e-09,2.541075969187806e-09
1,6,1,-2.201948069442676e-09,2.699816942854132e-09
1,6,1,-2.3141609134823244e-09,2.862586995197641e-09
1,6,1,-2.4365494228671926e-09,3.029292265507124e-09
1,6,1,-2.5742551687484604e-09,3.199836230296475e-09
1,6,1,-2.722274819128107e-09,3.374119734781109e-09
1,6,1,-2.8653351197504207e-09,3.552041025920249e-09
1,6,1,-3.0247217166421514e-09,3.733495787018831e-09
1,6,1,-3.1991633963149267e-09,3.918377173881926e-09
1,6,1,-3.375318822269507e-09,4.106575852513756e-09
1,6,1,-3.545314659717086e-09,4.2979800383525146e-09
1,6,1,-3.692819687567677e-09,4.492475537031396e-09
1,6,1,-3.848801798658299e-09,4.689945786655354e-09
1,6,1,-4.026449924682485e-09,4.890271901582293e-09
1,6,1,-4.180099684428313e-09,5.0933327176965455e-09
1,6,1,-4.322295164890206e-09,5.299004839161634e-09
1,6,1,-4.50338003572009e-09,5.507162686638484e-09
1,6,1,-4.696991154062613e-09,5.7176785469544e-09
1,6,1,-4.8670020219095085e-09,5.930422624207296e-09
1,6,1,-5.051987802009148e-09,6.145263092288785e-09
1,6,1,-5.260666455327327e-09,6.3620661488089705e-09
1,6,1,-5.447591447378711e-09,6.580696070404852e-09
1,6,1,-5.600368058730765e-09,6.8010152694135095e-09
1,6,1,-5.765417004807779e-09,7.022884351890358e-09
1,6,1,-5.985457536163898e-09,7.2461621769519345e-09
1,6,1,-6.215481026221911e-09,7.470705917421888e-09
1,6,1,-6.418226946019171e-09,7.69637112175799e-09
1,6,1,-6.629549395109923e-09,7.923011777237218e-09
