list,n_ts,n_serie,ref,sim
1,6,1,-3.9276350101034733e-13,0.0
1,6,1,-1.2343650949845728e-12,1.142200891316292e-09
1,6,1,-3.803724235437436e-11,4.5682117107611686e-09
1,6,1,-1.0204556831723011e-10,1.0276254177998796e-08
1,6,1,-1.4544154054938072e-10,1.826335743627425e-08
1,6,1,-1.7928876346478552e-10,2.8525351470157074e-08
1,6,1,-2.1821412557669439e-10,4.10568610973802e-08
1,6,1,-2.63851255307933e-10,5.585130054175833e-08
1,6,1,-3.2081827186542513e-10,7.290086859391724e-08
1,6,1,-3.8902122434729183e-10,9.219654436630844e-08
1,6,1,-4.6426905551182185e-10,1.1372808364872047e-07
1,6,1,-5.417400231335377e-10,1.3748401587023153e-07
1,6,1,-6.184146708035838e-10,1.6345164167327573e-07
1,6,1,-7.011642551875667e-10,1.9161703110521888e-07
1,6,1,-7.785737966564892e-10,2.2196502243255865e-07
1,6,1,-8.472247249776236e-10,2.544792215825783e-07
1,6,1,-9.174447338296995e-10,2.89142002216994e-07
1,6,1,-1.001860886960274e-09,3.2593450644184044e-07
1,6,1,-1.079621644052995e-09,3.6483664615754446e-07
1,6,1,-1.151596131014707e-09,4.058271050528309e-07
1,6,1,-1.2401726804447848e-09,4.488833412458022e-07
1,6,1,-1.336004758956444e-09,4.939815905752228e-07
1,6,1,-1.42122129056897e-09,5.410968705447272e-07
1,6,1,-1.4973620835142244e-09,5.902029849223526e-07
1,6,1,-1.6070426343290402e-09,6.412725289974819e-07
1,6,1,-1.7091437954181563e-09,6.942768954969538e-07
1,6,1,-1.7905547788576265e-09,7.491862811617787e-07
1,6,1,-1.9024025991978287e-09,8.059696939855637e-07
1,6,1,-2.0190027207568693e-09,8.64594961115424e-07
1,6,1,-2.1090943972879163e-09,9.250287374158215e-07
1,6,1,-2.268530435257216e-09,9.872365146954369e-07
1,6,1,-2.325626860314409e-09,1.051182631596841e-06
1,6,1,-2.434237756533447e-09,1.1168302841483938e-06
1,6,1,-2.6755079481163743e-09,1.184141536977453e-06
1,6,1,-2.870867848636673e-09,1.253077335183633e-06
1,6,1,-2.9496995054957964e-09,1.3235975168705078e-06
1,6,1,-2.8611115760817603e-09,1.3956608263338026e-06
1,6,1,-2.618508067107645e-09,1.4692249279037712e-06
1,6,1,-2.3518704446636393e-09,1.544246420439106e-06
1,6,1,-2.301473746590136e-09,1.620680852469373e-06
1,6,1,-2.2502893737876774e-09,1.698482737982621e-06
1,6,1,-2.1203034493553542e-09,1.7776055728544437e-06
1,6,1,-1.8385500185825294e-09,1.8580018519144401e-06
1,6,1,-1.4765149671767235e-09,1.9396230866456514e-06
1,6,1,-1.201555225644199e-09,2.022419823512199e-06
1,6,1,-7.602447006496543e-10,2.10634166291e-06
1,6,1,-3.532520180190918e-10,2.191337278735075e-06
1,6,1,-1.5502367503291104e-10,2.2773544385636175e-06
1,6,1,1.9633198454744032e-10,2.3643400244376262e-06
1,6,1,6.738894651697284e-10,2.452240054249564e-06
1,6,1,1.1151018167248694e-09,2.5409997037191456e-06
1,6,1,1.5868763859777212e-09,2.6305633289550028e-06
1,6,1,2.1074795347830143e-09,2.720874489593638e-06
1,6,1,2.6904796608760543e-09,2.8118759725077067e-06
1,6,1,3.2859996967725877e-09,2.9035098160753417e-06
1,6,1,3.82913800786705e-09,2.995717335001878e-06
1,6,1,4.369961618598071e-09,3.0884391456849875e-06
1,6,1,4.963891925619109e-09,3.181615192113897e-06
1,6,1,5.5889929733813294e-09,3.275184772293025e-06
1,6,1,6.165029528957442e-09,3.3690865651800258e-06
1,6,1,6.6857455891426815e-09,3.4632586581279025e-06
1,6,1,7.332473531245282e-09,3.557638574820513e-06
1,6,1,8.057489635002911e-09,3.6521633036904724e-06
1,6,1,8.681721606494531e-09,3.7467693268081073e-06
1,6,1,9.246444399962484e-09,3.841392649229826e-06
1,6,1,9.833609906856888e-09,3.935968828793927e-06
1,6,1,1.0492919260004926e-08,4.0304330063515425e-06
1,6,1,1.1057821864841871e-08,4.124719936420149e-06
1,6,1,1.1529925752233573e-08,4.218764018246703e-06
1,6,1,1.2102437122303172e-08,4.31249932726722e-06
1,6,1,1.2667081066913864e-08,4.40585964694926e-06
1,6,1,1.3196539276978529e-08,4.498778501003541e-06
1,6,1,1.3782708144872382e-08,4.591189185950572e-06
1,6,1,1.4395342748160964e-08,4.683024804027929e-06
1,6,1,1.5095007524226537e-08,4.774218296423529e-06
1,6,1,1.5828805681936392e-08,4.8647024768199544e-06
1,6,1,1.658701315215256e-08,4.954410065234654e-06
1,6,1,1.7379268062190505e-08,5.043273722140541e-06
1,6,1,1.8235535107401563e-08,5.131226082851287e-06
1,6,1,1.9220854917577048e-08,5.21819979215534e-06
1,6,1,2.0188410711266003e-08,5.304127539182478e-06
1,6,1,2.1156396841268856e-08,5.388942092486428e-06
1,6,1,2.225104183015e-08,5.47257633532691e-06
1,6,1,2.3340178635183777e-08,5.554963301134192e-06
1,6,1,2.4408851343400232e-08,5.6360362091390475e-06
1,6,1,2.5592177941293853e-08,5.715728500150828e-06
1,6,1,2.688854567335629e-08,5.793973872466094e-06
1,6,1,2.8315666609843724e-08,5.870706317890135e-06
1,6,1,2.9777219337000283e-08,5.945860157853469e-06
1,6,1,3.1287481789816214e-08,6.019370079605251e-06
1,6,1,3.2933165590398896e-08,6.091171172465382e-06
1,6,1,3.4649125318206844e-08,6.16119896411689e-06
1,6,1,3.624768017662657e-08,6.229389456920079e-06
1,6,1,3.7866703659362506e-08,6.295679164229729e-06
1,6,1,3.960788328502235e-08,6.36000514669655e-06
1,6,1,4.1407382824333256e-08,6.422305048533949e-06
1,6,1,4.332261693142023e-08,6.4825171337310525e-06
1,6,1,4.526581730740848e-08,6.540580322192825e-06
1,6,1,4.7202444473712127e-08,6.596434225788032e-06
1,6,1,4.9269304045737046e-08,6.650019184285722e-06
1,6,1,5.14905683524157e-08,6.701276301160793e-06
1,6,1,5.362946193171948e-08,6.750147479249179e-06
1,6,1,5.5693768001593727e-08,6.7965754562331214e-06
1,6,1,5.786271139853869e-08,6.840503839936936e-06
1,6,1,6.008424357743642e-08,6.881877143413685e-06
1,6,1,6.222059619458577e-08,6.9206408198030756e-06
1,6,1,6.42722176209215e-08,6.9567412969409745e-06
1,6,1,6.62978085686887e-08,6.9901260117008535e-06
1,6,1,6.826677385346536e-08,7.020743444047523e-06
1,6,1,7.020241806381606e-08,7.04854315078353e-06
1,6,1,7.204681064675653e-08,7.073475798968604e-06
1,6,1,7.37303302753142e-08,7.09549319899259e-06
1,6,1,7.528533477988152e-08,7.114548337282358e-06
1,6,1,7.669719215454829e-08,7.130595408623231e-06
1,6,1,7.796464717755981e-08,7.143589848075544e-06
1,6,1,7.9146621747265e-08,7.153488362467044e-06
1,6,1,8.03097869560186e-08,7.160248961441919e-06
1,6,1,8.141478025736687e-08,7.163830988047346e-06
1,6,1,8.250771637830253e-08,7.16419514883858e-06
1,6,1,8.350769058505113e-08,7.16130354348373e-06
1,6,1,8.439311746008292e-08,7.155119693849468e-06
1,6,1,8.529652203485268e-08,7.1456085725491365e-06
1,6,1,8.626382438681982e-08,7.132736630934801e-06
1,6,1,8.710627249000465e-08,7.116471826515017e-06
1,6,1,8.772541298122664e-08,7.096783649780241e-06
1,6,1,8.833058184850018e-08,7.073643150418009e-06
1,6,1,8.904310524456853e-08,7.0470229629002e-06
1,6,1,8.978698761109569e-08,7.016897331424937e-06
1,6,1,9.041280916459712e-08,6.9832421341958654e-06
1,6,1,9.087625497857733e-08,6.9460349070218125e-06
1,6,1,9.127818978695184e-08,6.905254866220063e-06
1,6,1,9.15444791910759e-08,6.860882930806745e-06
1,6,1,9.161530713208652e-08,6.812901743958058e-06
1,6,1,9.165140941295592e-08,6.761295693726393e-06
1,6,1,9.172350950820104e-08,6.706050932995642e-06
1,6,1,9.182898109377019e-08,6.647155398660305e-06
1,6,1,9.196690803978364e-08,6.584598830013291e-06
1,6,1,9.199218036366528e-08,6.518372786327648e-06
1,6,1,9.195086556836415e-08,6.4484706636177455e-06
1,6,1,9.198628289267985e-08,6.374887710565783e-06
1,6,1,9.191897732386033e-08,6.2976210435998466e-06
1,6,1,9.182159302628607e-08,6.216669661110068e-06
1,6,1,9.162475362139981e-08,6.132034456789787e-06
1,6,1,9.132818153792057e-08,6.043718232089034e-06
1,6,1,9.092792416316846e-08,5.951725707767962e-06
1,6,1,9.038894280674313e-08,5.856063534538291e-06
1,6,1,8.975495421559437e-08,5.756740302781185e-06
1,6,1,8.90585980862827e-08,5.653766551330391e-06
1,6,1,8.831942947626413e-08,5.547154775309909e-06
1,6,1,8.739969098492508e-08,5.436919433015811e-06
1,6,1,8.621864647482463e-08,5.323076951832296e-06
1,6,1,8.481563950080415e-08,5.205645733172521e-06
1,6,1,8.335154552120307e-08,5.084646156435085e-06
1,6,1,8.17716743609452e-08,4.960100581967629e-06
1,6,1,8.003234257766279e-08,4.832033353029315e-06
1,6,1,7.806384616653785e-08,4.700470796744538e-06
1,6,1,7.581660766786532e-08,4.5654412240405915e-06
1,6,1,7.33646627221074e-08,4.426974928562519e-06
1,6,1,7.077426431054474e-08,4.285104184558859e-06
1,6,1,6.804514110499649e-08,4.139863243732466e-06
1,6,1,6.524046574420591e-08,3.991288331051061e-06
1,6,1,6.239264787686108e-08,3.839417639512692e-06
1,6,1,5.935708113936632e-08,3.684291323861751e-06
1,6,1,5.61409567664735e-08,3.5259514932517025e-06
1,6,1,5.282954179824593e-08,3.364442202851208e-06
1,6,1,4.9515962374556724e-08,3.199809444390808e-06
1,6,1,4.6079907025718766e-08,3.032101135647868e-06
1,6,1,4.254306800507834e-08,2.8613671088679953e-06
1,6,1,3.9016443029839583e-08,2.68765909812168e-06
1,6,1,3.5382951377160876e-08,2.5110307255954177e-06
1,6,1,3.1739093897968907e-08,2.331537486817119e-06
1,6,1,2.8034463699904883e-08,2.1492367348161405e-06
1,6,1,2.4232545241755386e-08,1.964187663218824e-06
1,6,1,2.0367125565903572e-08,1.7764512882809483e-06
1,6,1,1.6433565184576523e-08,1.5860904298590626e-06
1,6,1,1.2376831725946133e-08,1.3931696913232156e-06
1,6,1,8.185355462452911e-09,1.1977554384141397e-06
1,6,1,3.8600989335452654e-09,9.99915777048497e-07
1,6,1,-6.09869351509061e-10,7.997205300763705e-07
1,6,1,-5.195932161174155e-09,5.972412129957114e-07
1,6,1,-9.804775385927865e-09,3.9255100862903505e-07
1,6,1,-1.4377991669310336e-08,1.857247407682041e-07
1,6,1,-1.908015274623117e-08,-2.316115320629447e-08
1,6,1,-2.404749461640809e-08,-2.3402865072461327e-07
1,6,1,-2.9185650316910616e-08,-4.467981734378195e-07
1,6,1,-3.4275655930084165e-08,-6.613886176310887e-07
1,6,1,-3.936955671387425e-08,-8.777173856311603e-07
1,6,1,-4.458180158022508e-08,-1.095700418198834e-06
1,6,1,-4.9869049709424994e-08,-1.315252227896724e-06
1,6,1,-5.535388318822832e-08,-1.5362859334219212e-06
1,6,1,-6.105593626930848e-08,-1.7587132948926492e-06
1,6,1,-6.691608219694933e-08,-1.9824447500774482e-06
1,6,1,-7.287964028350091e-08,-2.2073894515548457e-06
1,6,1,-7.8869667781579e-08,-2.4334553047909193e-06
1,6,1,-8.49867843537327e-08,-2.6605490071216007e-06
1,6,1,-9.1312509122885e-08,-2.888576087626013e-06
1,6,1,-9.779051187002025e-08,-3.117440947876574e-06
1,6,1,-1.044355986949321e-07,-3.3470469035510503e-06
1,6,1,-1.1130165322747149e-07,-3.577296226891201e-06
1,6,1,-1.1838191561412123e-07,-3.8080901899920957e-06
1,6,1,-1.256729867682163e-07,-4.039329108905653e-06
1,6,1,-1.3314296104593116e-07,-4.270912388541412e-06
1,6,1,-1.406269708981731e-07,-4.502738568346998e-06
1,6,1,-1.482098456559241e-07,-4.734705368750234e-06
1,6,1,-1.5606362477900866e-07,-4.966709738344294e-06
1,6,1,-1.6411931536135322e-07,-5.198647901796814e-06
1,6,1,-1.7231894355422737e-07,-5.430415408463308e-06
1,6,1,-1.806117640119616e-07,-5.661907181684777e-06
1,6,1,-1.8900957485721562e-07,-5.893017568748844e-06
1,6,1,-1.975844577174543e-07,-6.123640391493302e-06
1,6,1,-2.0635534838943106e-07,-6.353668997530406e-06
1,6,1,-2.153795839395931e-07,-6.582996312069837e-06
1,6,1,-2.246873302601931e-07,-6.811514890317681e-06
1,6,1,-2.3422291523168085e-07,-7.039116970428409e-06
1,6,1,-2.4394139579851175e-07,-7.265694526986293e-06
1,6,1,-2.538696411532092e-07,-7.491139324992284e-06
1,6,1,-2.641494073497598e-07,-7.715342974331911e-06
1,6,1,-2.746450528015905e-07,-7.938196984699363e-06
1,6,1,-2.853895469439197e-07,-8.159592820952403e-06
1,6,1,-2.964549440849364e-07,-8.379421958872464e-06
1,6,1,-3.077076013554765e-07,-8.59757594130376e-06
1,6,1,-3.192090756260969e-07,-8.813946434644931e-06
1,6,1,-3.309336057735768e-07,-9.028425285666286e-06
1,6,1,-3.430224551565877e-07,-9.240904578625414e-06
1,6,1,-3.55611622520096e-07,-9.451276692653481e-06
1,6,1,-3.68601722128948e-07,-9.65943435938426e-06
1,6,1,-3.818263530288301e-07,-9.86527072079756e-06
1,6,1,-3.953190270523752e-07,-1.0068679387248401e-05
1,6,1,-4.091458334498899e-07,-1.0269554495652969e-05
1,6,1,-4.232683692267915e-07,-1.046779076780213e-05
1,6,1,-4.376176776269395e-07,-1.066328356877292e-05
1,6,1,-4.523312930134279e-07,-1.0855928965408223e-05
1,6,1,-4.672880972475465e-07,-1.1045623784834565e-05
1,6,1,-4.825518638492337e-07,-1.123226567298775e-05
1,6,1,-4.984664137439555e-07,-1.1415753153115737e-05
1,6,1,-5.148405824662513e-07,-1.1595985684228117e-05
1,6,1,-5.315072249881381e-07,-1.177286371946118e-05
1,6,1,-5.486060267527577e-07,-1.1946288764327514e-05
1,6,1,-5.662049844228684e-07,-1.2116163434818839e-05
1,6,1,-5.842116870587838e-07,-1.2282391515330686e-05
1,6,1,-6.02562756015399e-07,-1.2444878016377394e-05
1,6,1,-6.212857880219392e-07,-1.2603529232065725e-05
1,6,1,-6.40479641147805e-07,-1.2758252797295432e-05
1,6,1,-6.600830807152957e-07,-1.2908957744654911e-05
1,6,1,-6.801248248471303e-07,-1.305555456098011e-05
1,6,1,-7.004588615141656e-07,-1.3197955243544756e-05
1,6,1,-7.210495716176177e-07,-1.3336073355849993e-05
1,6,1,-7.420899777617868e-07,-1.346982408298149e-05
1,6,1,-7.634229071502239e-07,-1.3599124286502122e-05
1,6,1,-7.85013995446755e-07,-1.3723892558848331e-05
1,6,1,-8.067740813559381e-07,-1.384404927719837e-05
1,6,1,-8.287001565514108e-07,-1.3959516656780638e-05
1,6,1,-8.508202699835319e-07,-1.4070218803590488e-05
1,6,1,-8.729315445267319e-07,-1.4176081766483928e-05
1,6,1,-8.950365226186715e-07,-1.4277033588616838e-05
1,6,1,-9.171677927378894e-07,-1.4373004358198362e-05
1,6,1,-9.394314535830754e-07,-1.446392625852743e-05
1,6,1,-9.618543628298997e-07,-1.4549733617281472e-05
1,6,1,-9.84290611966762e-07,-1.4630362955026584e-05
1,6,1,-1.0067552736324269e-06,-1.4705753032918687e-05
1,6,1,-1.029314072946178e-06,-1.4775844899565382e-05
1,6,1,-1.0520485448467451e-06,-1.4840581937018561e-05
1,6,1,-1.0747995019936008e-06,-1.4899909905867992e-05
1,6,1,-1.097589482294845e-06,-1.495377698940651e-05
1,6,1,-1.1206559957976304e-06,-1.5002133836837678e-05
1,6,1,-1.1438192656632197e-06,-1.5044933605497127e-05
1,6,1,-1.1669596048364463e-06,-1.5082132002059198e-05
1,6,1,-1.1900675097866211e-06,-1.5113687322700754e-05
1,6,1,-1.213143622320269e-06,-1.5139560492194519e-05
1,6,1,-1.2361974970431045e-06,-1.5159715101904666e-05
1,6,1,-1.259335771243432e-06,-1.5174117446657775e-05
1,6,1,-1.2826386725717029e-06,-1.5182736560462722e-05
1,6,1,-1.3061044826001125e-06,-1.518554425105353e-05
