list,n_ts,n_serie,ref,sim
1,6,1,1.0893349576197677e-07,1.0719885916978235e-06
1,6,1,1.1421010998596489e-07,1.0965654715165493e-06
1,6,1,1.195036771311669e-07,1.1210713115401046e-06
1,6,1,1.249231335994568e-07,1.145489137200341e-06
1,6,1,1.3039082295487626e-07,1.169801903610565e-06
1,6,1,1.3605822506200777e-07,1.1939925037700575e-06
1,6,1,1.419181681060261e-07,1.218043776856108e-06
1,6,1,1.4801490745748236e-07,1.2419385165999404e-06
1,6,1,1.5411835269859162e-07,1.2656594797428298e-06
1,6,1,1.6019812121602678e-07,1.289189394568653e-06
1,6,1,1.66660640200486e-07,1.3125109695090414e-06
1,6,1,1.7330551609884186e-07,1.3356069018172448e-06
1,6,1,1.8001897122041409e-07,1.3584598863067506e-06
1,6,1,1.869036753064096e-07,1.3810526241506443e-06
1,6,1,1.9395702459357105e-07,1.4033678317376313e-06
1,6,1,2.0108697841552337e-07,1.4253882495805932e-06
1,6,1,2.0814163503132374e-07,1.4470966512734814e-06
1,6,1,2.1548643681561533e-07,1.4684758524923102e-06
1,6,1,2.2306632068776147e-07,1.48950872003595e-06
1,6,1,2.306613890101596e-07,1.5101781809023745e-06
1,6,1,2.385115771313555e-07,1.530467231395965e-06
1,6,1,2.4646187195915254e-07,1.5503589462614327e-06
1,6,1,2.54353191290438e-07,1.5698364878398644e-06
1,6,1,2.6210527122084484e-07,1.5888831152423708e-06
1,6,1,2.6986969945733785e-07,1.6074821935367571e-06
1,6,1,2.7762844717399805e-07,1.6256172029426146e-06
1,6,1,2.856441040034244e-07,1.6432717480301796e-06
1,6,1,2.93814376922318e-07,1.6604295669182861e-06
1,6,1,3.016082962674418e-07,1.6770745404666954e-06
1,6,1,3.0918746098248254e-07,1.6931907014580625e-06
1,6,1,3.1666511850696697e-07,1.7087622437647683e-06
1,6,1,3.24248407825989e-07,1.7237735314958249e-06
1,6,1,3.317467388395524e-07,1.7382091081190352e-06
1,6,1,3.391095700619779e-07,1.7520537055535687e-06
1,6,1,3.46485297249223e-07,1.7652922532280973e-06
1,6,1,3.536359001202546e-07,1.7779098870996248e-06
1,6,1,3.604073374405683e-07,1.7898919586281156e-06
1,6,1,3.66870944432719e-07,1.8012240437020394e-06
1,6,1,3.7320517974203313e-07,1.8118919515099199e-06
1,6,1,3.79391085039776e-07,1.821881733352988e-06
1,6,1,3.857219690858168e-07,1.83117969139402e-06
1,6,1,3.919144495824642e-07,1.839772387337455e-06
1,6,1,3.977209534413119e-07,1.8476466510358823e-06
1,6,1,4.036204727214957e-07,1.8547895890179946e-06
1,6,1,4.093237050756936e-07,1.8611885929331105e-06
1,6,1,4.147433304953722e-07,1.8668313479073815e-06
1,6,1,4.203587300949994e-07,1.8717058408068105e-06
1,6,1,4.261458304437608e-07,1.8758003684022263e-06
1,6,1,4.318023254387659e-07,1.8791035454313714e-06
1,6,1,4.372737824505637e-07,1.881604312553292e-06
1,6,1,4.426667381140198e-07,1.8832919441902311e-06
1,6,1,4.482362334253207e-07,1.88415605625226e-06
1,6,1,4.54005778709363e-07,1.8841866137399078e-06
1,6,1,4.596856789933654e-07,1.8833739382200875e-06
1,6,1,4.6521987077983045e-07,1.8817087151706402e-06
