list,n_ts,ref
1,1,-6.583282168932791e-09
1,1,-6.479019949880279e-09
1,1,-6.34411709148985e-09
1,1,-6.2130312161575745e-09
1,1,-5.990345041014366e-09
1,1,-5.731382264105595e-09
1,1,-5.593601923067581e-09
1,1,-5.4818707936278035e-09
1,1,-5.286716838044859e-09
1,1,-5.0741936650505795e-09
1,1,-4.931728875514022e-09
1,1,-4.725144022776373e-09
1,1,-4.530498620931909e-09
1,1,-4.452774837376091e-09
1,1,-4.21204749710733e-09
1,1,-3.879523860064546e-09
1,1,-3.519119336880765e-09
1,1,-3.0763521376583212e-09
1,1,-2.73232396723913e-09
1,1,-2.4503608864323446e-09
1,1,-2.085320236321696e-09
1,1,-1.6830866872830303e-09
1,1,-1.2535539191238523e-09
1,1,-8.572715837667737e-10
1,1,-5.942880479631097e-10
1,1,-3.804202499586047e-10
1,1,-1.0817970810198945e-10
1,1,2.4345939090235197e-10
1,1,5.774931441157436e-10
1,1,8.62839445995833e-10
1,1,1.142665627509594e-09
1,1,1.4966866648273054e-09
1,1,1.8827255294576387e-09
1,1,2.210861613315504e-09
1,1,2.5177298628234408e-09
1,1,2.8011563128271406e-09
1,1,3.115121453675105e-09
1,1,3.4895381314428843e-09
1,1,3.791853335216587e-09
1,1,4.102283684917897e-09
1,1,4.468739489260246e-09
1,1,4.778163778890777e-09
1,1,5.072968861636179e-09
1,1,5.335446107175524e-09
1,1,5.581546249782456e-09
1,1,5.793800134873567e-09
1,1,5.991463584479937e-09
1,1,6.351967485743269e-09
1,1,6.766712309110481e-09
1,1,7.021258719397749e-09
1,1,7.242893019974969e-09
1,1,7.421321515829919e-09
1,1,7.424030534294177e-09
1,1,7.402073497911341e-09
1,1,7.346013137637801e-09
1,1,7.1618452069936915e-09
1,1,6.767079308794349e-09
1,1,6.305968573801641e-09
1,1,5.817849902319871e-09
1,1,5.1360535745876e-09
1,1,4.4170642143467245e-09
1,1,3.6808649238793282e-09
1,1,2.7541781129395478e-09
1,1,1.7171312354109583e-09
1,1,7.514866953703076e-10
1,1,-1.8628756151648143e-10
1,1,-1.224494932730238e-09
1,1,-2.300746147560412e-09
1,1,-3.4330877380565557e-09
1,1,-4.610323285493473e-09
1,1,-5.682842582998444e-09
1,1,-6.759916339217004e-09
1,1,-7.919716272418218e-09
1,1,-9.07182560426858e-09
1,1,-1.0291331972197428e-08
1,1,-1.1679840430852518e-08
1,1,-1.3227601604359974e-08
1,1,-1.5021009365835177e-08
1,1,-1.6881994897791734e-08
1,1,-1.8734859864908833e-08
1,1,-2.070945261110048e-08
1,1,-2.2816841541122522e-08
1,1,-2.495971818552714e-08
1,1,-2.7102227951626888e-08
1,1,-2.950371023177428e-08
1,1,-3.2047270268263126e-08
1,1,-3.4511795915968885e-08
1,1,-3.700773876383439e-08
1,1,-3.965696148666866e-08
1,1,-4.237539424800705e-08
1,1,-4.5105656201533904e-08
1,1,-4.79592785053146e-08
1,1,-5.084647185163549e-08
1,1,-5.368872576166946e-08
1,1,-5.6612834712779845e-08
1,1,-5.967434026467012e-08
1,1,-6.280053987226652e-08
1,1,-6.605719625236722e-08
1,1,-6.953096790794212e-08
1,1,-7.299223411604126e-08
1,1,-7.640520478479209e-08
1,1,-7.988527177651557e-08
1,1,-8.347453069305386e-08
1,1,-8.716257132076791e-08
1,1,-9.096044058011032e-08
1,1,-9.49882953820919e-08
1,1,-9.905713222373673e-08
1,1,-1.0319326566071053e-07
1,1,-1.0764987998033724e-07
1,1,-1.1229223661734385e-07
1,1,-1.1701424903981335e-07
1,1,-1.218946286469037e-07
1,1,-1.269830625202429e-07
1,1,-1.3221948359224785e-07
1,1,-1.3747640403778626e-07
1,1,-1.4279215028495677e-07
1,1,-1.4822760318741084e-07
1,1,-1.5375719658522498e-07
1,1,-1.593978206251387e-07
1,1,-1.6507375295865848e-07
1,1,-1.7079559361026495e-07
1,1,-1.765346838815935e-07
1,1,-1.822467701824651e-07
1,1,-1.8807733518175198e-07
1,1,-1.9399671562626065e-07
1,1,-1.9990236211489939e-07
1,1,-2.057650558115756e-07
1,1,-2.117320564760009e-07
1,1,-2.1774351952061035e-07
1,1,-2.2361300348523946e-07
1,1,-2.293965098691684e-07
1,1,-2.3512440468851337e-07
1,1,-2.407566102682103e-07
1,1,-2.4632237480699786e-07
1,1,-2.517388086241979e-07
1,1,-2.570735090918869e-07
1,1,-2.623489027619383e-07
1,1,-2.67549600468572e-07
1,1,-2.727710982290784e-07
1,1,-2.7793114864942284e-07
1,1,-2.83141368819832e-07
1,1,-2.884219486615912e-07
1,1,-2.936756372532235e-07
1,1,-2.989392513038989e-07
1,1,-3.0413918293320285e-07
1,1,-3.092489241271841e-07
1,1,-3.143743915942974e-07
1,1,-3.194795144681976e-07
1,1,-3.245028080809655e-07
1,1,-3.294020534105606e-07
1,1,-3.342127188432914e-07
1,1,-3.389821677571553e-07
