list,n_ts,ref,sim
1,1,-1.0291331972197428e-08,1.1898993110125715e-08
1,1,-1.1679840430852518e-08,1.158448059828021e-08
1,1,-1.3227601604359974e-08,1.1261576611643514e-08
1,1,-1.5021009365835177e-08,1.093035236341408e-08
1,1,-1.6881994897791734e-08,1.0590883827906135e-08
1,1,-1.8734859864908833e-08,1.024325173387087e-08
1,1,-2.070945261110048e-08,9.887541555332899e-09
1,1,-2.2816841541122522e-08,9.52384349993005e-09
1,1,-2.495971818552714e-08,9.152252494745629e-09
1,1,-2.7102227951626888e-08,8.772868169623615e-09
1,1,-2.950371023177428e-08,8.385794837958373e-09
1,1,-3.2047270268263126e-08,7.991141474951706e-09
1,1,-3.4511795915968885e-08,7.589021693331296e-09
1,1,-3.700773876383439e-08,7.1795537165258085e-09
1,1,-3.965696148666866e-08,6.762860349293209e-09
1,1,-4.237539424800705e-08,6.339068945800061e-09
1,1,-4.5105656201533904e-08,5.908311375150876e-09
1,1,-4.79592785053146e-08,5.470723984367812e-09
1,1,-5.084647185163549e-08,5.026447558822351e-09
1,1,-5.368872576166946e-08,4.575627280121853e-09
1,1,-5.6612834712779845e-08,4.118412681455147e-09
1,1,-5.967434026467012e-08,3.654957600402692e-09
1,1,-6.280053987226652e-08,3.185420129218085e-09
1,1,-6.605719625236722e-08,2.70996256258904e-09
1,1,-6.953096790794212e-08,2.2287513428872768e-09
1,1,-7.299223411604126e-08,1.7419570029180818e-09
1,1,-7.640520478479209e-08,1.249754106181628e-09
1,1,-7.988527177651557e-08,7.523211846594786e-10
1,1,-8.347453069305386e-08,2.4984067414103114e-10
1,1,-8.716257132076791e-08,-2.5750115289399937e-10
1,1,-9.096044058011032e-08,-7.695142568196232e-10
1,1,-9.49882953820919e-08,-1.2860049028153647e-09
1,1,-9.905713222373673e-08,-1.8067757352056745e-09
1,1,-1.0319326566071053e-07,-2.3316258541654992e-09
1,1,-1.0764987998033724e-07,-2.8603508947691975e-09
1,1,-1.1229223661734385e-07,-3.3927431083586503e-09
1,1,-1.1701424903981335e-07,-3.928591446205069e-09
