list,n_ts,ref,sim
1,6,2.91515089634492e-08,5.462387994109095e-07
1,6,3.1962522573474e-08,5.683218650935196e-07
1,6,3.464702949873438e-08,5.906742624740478e-07
1,6,3.725595739857013e-08,6.132824237943512e-07
1,6,4.000289854401954e-08,6.361325590445713e-07
1,6,4.2792423617921146e-08,6.592106614762019e-07
1,6,4.5803504101909166e-08,6.825025132629078e-07
1,6,4.8992955083890106e-08,7.059936913072257e-07
1,6,5.234940385923717e-08,7.296695731911969e-07
1,6,5.5548986861130936e-08,7.535153432688894e-07
1,6,5.86267561290368e-08,7.775159988986877e-07
1,6,6.18685323903695e-08,8.016563568131321e-07
1,6,6.535246146666681e-08,8.259210596240181e-07
1,6,6.888201603954699e-08,8.502945824603696e-07
1,6,7.256477043210282e-08,8.747612397368248e-07
1,6,7.685675379823796e-08,8.993051920498818e-07
1,6,8.103794506930238e-08,9.239104531993769e-07
1,6,8.51220780134151e-08,9.485608973324793e-07
1,6,8.959934793031145e-08,9.732402662074077e-07
1,6,9.41949790170638e-08,9.97932176573996e-07
1,6,9.889080878431918e-08,1.02262012766815e-06
1,6,1.0376646991646281e-07,1.0472875088171641e-06
1,6,1.0893349576197677e-07,1.0719176071527847e-06
1,6,1.1421010998596489e-07,1.0964936154288327e-06
1,6,1.195036771311669e-07,1.1209986399401223e-06
1,6,1.249231335994568e-07,1.145415708539336e-06
1,6,1.3039082295487626e-07,1.1697277787484438e-06
1,6,1.3605822506200777e-07,1.1939177459611817e-06
1,6,1.419181681060261e-07,1.2179684517330357e-06
1,6,1.4801490745748236e-07,1.2418626921551037e-06
1,6,1.5411835269859162e-07,1.2655832263081418e-06
1,6,1.6019812121602678e-07,1.2891127847930357e-06
1,6,1.66660640200486e-07,1.3124340783338655e-06
1,6,1.7330551609884186e-07,1.3355298064496808e-06
1,6,1.8001897122041409e-07,1.3583826661910241e-06
1,6,1.869036753064096e-07,1.3809753609371953e-06
1,6,1.9395702459357105e-07,1.403290609250175e-06
1,6,2.0108697841552337e-07,1.4253111537810836e-06
1,6,2.0814163503132374e-07,1.4470197702249798e-06
1,6,2.1548643681561533e-07,1.4683992763197623e-06
1,6,2.2306632068776147e-07,1.489432540884876e-06
1,6,2.306613890101596e-07,1.5101024928954797e-06
1,6,2.385115771313555e-07,1.5303921305876774e-06
1,6,2.4646187195915254e-07,1.5502845305903786e-06
1,6,2.54353191290438e-07,1.5697628570792916e-06
1,6,2.6210527122084484e-07,1.588810370948533e-06
1,6,2.6986969945733785e-07,1.6074104389952737e-06
1,6,2.7762844717399805e-07,1.6255465431128204e-06
1,6,2.856441040034244e-07,1.6432022894874829e-06
1,6,2.93814376922318e-07,1.6603614177945522e-06
1,6,3.016082962674418e-07,1.6770078103886777e-06
1,6,3.0918746098248254e-07,1.6931255014839004e-06
1,6,3.1666511850696697e-07,1.7086986863185792e-06
1,6,3.24248407825989e-07,1.723711730300411e-06
1,6,3.317467388395524e-07,1.7381491781267335e-06
1,6,3.391095700619779e-07,1.7519957628752726e-06
1,6,3.46485297249223e-07,1.765236415060479e-06
1,6,3.536359001202546e-07,1.7778562716505868e-06
1,6,3.604073374405683e-07,1.78984068504051e-06
1,6,3.66870944432719e-07,1.8011752319756823e-06
1,6,3.7320517974203313e-07,1.8118457224219416e-06
1,6,3.79391085039776e-07,1.8218382083765527e-06
1,6,3.857219690858168e-07,1.8311389926154547e-06
1,6,3.919144495824642e-07,1.8397346373718283e-06
1,6,3.977209534413119e-07,1.847611972941076e-06
1,6,4.036204727214957e-07,1.8547581062073063e-06
1,6,4.093237050756936e-07,1.8611604290864367e-06
1,6,4.147433304953722e-07,1.866806626881024e-06
1,6,4.203587300949994e-07,1.8716846865419543e-06
1,6,4.261458304437608e-07,1.8757829048321376e-06
1,6,4.318023254387659e-07,1.8790898963873667e-06
1,6,4.372737824505637e-07,1.881594601669527e-06
1,6,4.426667381140198e-07,1.8832862948073652e-06
1,6,4.482362334253207e-07,1.8841545913200478e-06
1,6,4.54005778709363e-07,1.8841894557187755e-06
1,6,4.596856789933654e-07,1.8833812089817464e-06
1,6,4.6521987077983045e-07,1.8817205358978005e-06
1,6,4.7048247511924683e-07,1.8791984922741064e-06
1,6,4.756629068949675e-07,1.8758065120033032e-06
1,6,4.809107718939302e-07,1.8715364139855398e-06
1,6,4.86187320596038e-07,1.8663804089009113e-06
1,6,4.915688565637057e-07,1.8603311058278301e-06
1,6,4.969560511030852e-07,1.8533815187029253e-06
1,6,5.022943680054377e-07,1.8455250726181137e-06
1,6,5.073595135234945e-07,1.8367556099505475e-06
1,6,5.121716887759127e-07,1.82706739632119e-06
1,6,5.170717458592528e-07,1.8164551263778438e-06
1,6,5.217648513574837e-07,1.804913929398513e-06
1,6,5.261604601433854e-07,1.7924393747110449e-06
1,6,5.30567261406543e-07,1.7790274769250688e-06
1,6,5.347520872735335e-07,1.7646747009723196e-06
1,6,5.385582667035793e-07,1.749377966951503e-06
1,6,5.421548107750588e-07,1.7331346547739377e-06
1,6,5.456789704738295e-07,1.715942608606288e-06
1,6,5.49005515683011e-07,1.6978001411067775e-06
1,6,5.519917784467764e-07,1.6787060374513617e-06
1,6,5.54749126487894e-07,1.658659559146411e-06
1,6,5.574292759805574e-07,1.6376604476245576e-06
1,6,5.598601769194983e-07,1.6157089276204367e-06
1,6,5.620081713662797e-07,1.5928057103231469e-06
1,6,5.638858259128618e-07,1.5689519963023487e-06
1,6,5.65539231939399e-07,1.5441494782050157e-06
1,6,5.671539130225626e-07,1.5184003432199465e-06
1,6,5.686830023323156e-07,1.4917072753072475e-06
1,6,5.702250242735148e-07,1.4640734571900975e-06
1,6,5.715842275843863e-07,1.4355025721062074e-06
1,6,5.725525238205525e-07,1.4059988053164904e-06
1,6,5.734521869183238e-07,1.3755668453685717e-06
1,6,5.740698656923419e-07,1.3442118851128631e-06
1,6,5.742553720474067e-07,1.3119396224690526e-06
1,6,5.741742666789362e-07,1.2787562609409563e-06
1,6,5.735556140458205e-07,1.2446685098778047e-06
1,6,5.725126427032463e-07,1.2096835844801419e-06
