sim,ref_pos,ref_neg
1.502834266388724e-06,2.174373583916818e-07,-2.174376905441671e-07
1.5257903362847803e-06,2.389204818820692e-07,-2.3892081558580297e-07
1.5482448112509476e-06,2.621093535873478e-07,-2.621096904927625e-07
1.5701735403759367e-06,2.873253512657549e-07,-2.873257070464691e-07
1.5915525282724963e-06,3.144775948851001e-07,-3.1447796534685456e-07
1.6123579518142503e-06,3.43169652450336e-07,-3.431700329446467e-07
1.6325661768891728e-06,3.737281362062582e-07,-3.737285254352221e-07
1.6521537751589273e-06,4.070421089322965e-07,-4.070425078422103e-07
1.6710975408132202e-06,4.433044669872196e-07,-4.4330488364288883e-07
1.6893745073082298e-06,4.817353384826061e-07,-4.817357654416592e-07
1.7069619640781024e-06,5.225437958419777e-07,-5.225442308876396e-07
1.723837473208431e-06,5.656114322746361e-07,-5.656118776132361e-07
1.7399788860605812e-06,6.106342422464405e-07,-6.106346982280852e-07
1.7553643598356642e-06,6.58315638367528e-07,-6.583161113517374e-07
1.7699723740669206e-06,7.089895216216927e-07,-7.08990010754318e-07
1.783781747029225e-06,7.627430152241051e-07,-7.627435146785083e-07
1.7967716520544068e-06,8.190266312784516e-07,-8.190271397142853e-07
1.808921633741039e-06,8.777465648602602e-07,-8.777470888560273e-07
1.8202116240473423e-06,9.391903209150398e-07,-9.391908615347836e-07
1.8306219582558371e-06,1.0030556957988426e-06,-1.0030562539520491e-06
1.8401333907983709e-06,1.0692662433348803e-06,-1.069266818935782e-06
1.8487271109301612e-06,1.1377590493515402e-06,-1.1377596364057424e-06
1.8563847582414975e-06,1.2078265965827028e-06,-1.2078271917674044e-06
1.8630884379957752e-06,1.2791703955611532e-06,-1.2791710055811234e-06
1.8688207362825575e-06,1.3518879532968227e-06,-1.3518885824296047e-06
1.8735647349744018e-06,1.4261263299562228e-06,-1.4261269709405214e-06
1.8773040264762242e-06,1.502377871575281e-06,-1.5023785224891988e-06
1.88002272825604e-06,1.581081497654558e-06,-1.5810821584942048e-06
1.8817054971459646e-06,1.6620606753052998e-06,-1.6620613442910446e-06
1.8823375434024398e-06,1.7445585408923384e-06,-1.7445592167038097e-06
1.8819046445147136e-06,1.8289814510835028e-06,-1.8289821321225788e-06
1.8803931587506982e-06,1.915526855690025e-06,-1.9155275478880423e-06
1.8777900384294145e-06,2.003037757793725e-06,-2.003038461732119e-06
1.8740828429093318e-06,2.0919930318361946e-06,-2.0919937455454703e-06
1.8692597512820245e-06,2.1829824876979774e-06,-2.182983205847591e-06
1.8633095747606724e-06,2.275636239568672e-06,-2.275636954948912e-06
1.856221768753066e-06,2.370818388507889e-06,-2.3708190949736955e-06
1.8479864446089e-06,2.467679032029388e-06,-2.4676797275484466e-06
1.8385943810312827e-06,2.56435772686557e-06,-2.564358424205229e-06
1.8280370351425272e-06,2.6611133249878563e-06,-2.6611140228361253e-06
1.8163065531944536e-06,2.758349154154393e-06,-2.7583498410443064e-06
1.8033957809135863e-06,2.8564506572544285e-06,-2.856451332225027e-06
1.7892982734717969e-06,2.955271064337767e-06,-2.9552717385068112e-06
1.7740083050731223e-06,3.0540398952606323e-06,-3.054040569636228e-06
1.7575208781476737e-06,3.152680682279997e-06,-3.1526813522266165e-06
1.7398317321437324e-06,3.2510251682310483e-06,-3.2510258383771946e-06
1.7209373519093316e-06,3.3495100350354563e-06,-3.3495107080970003e-06
1.7008349756548314e-06,3.4481666434023297e-06,-3.4481673193653757e-06
1.6795226024881885e-06,3.5457808068017337e-06,-3.5457814919749657e-06
1.6569989995148616e-06,3.641987500899744e-06,-3.641988192815057e-06
1.6332637084944959e-06,3.737610816372274e-06,-3.7376115078435833e-06
1.6083170520467744e-06,3.83244185301251e-06,-3.832442544265079e-06
1.5821601393990537e-06,3.925403543488603e-06,-3.925404237825898e-06
1.554794871668647e-06,4.01652938283498e-06,-4.0165300779871925e-06
1.5262239466728615e-06,4.105616649374687e-06,-4.10561733953594e-06
1.4964508632601576e-06,4.192981832739936e-06,-4.19298252336846e-06
1.4654799251560517e-06,4.278959674572184e-06,-4.278960365870025e-06
1.4333162443176564e-06,4.3629165745310816e-06,-4.362917263000542e-06
1.399965743791014e-06,4.44470671880392e-06,-4.444707407677496e-06
1.3654351600656683e-06,4.523737413339086e-06,-4.523738106303886e-06
1.3297320449211851e-06,4.599493194801084e-06,-4.5994938976542685e-06
1.2928647667606377e-06,4.671935637980112e-06,-4.67193635122589e-06
1.2548425114263479e-06,4.740492724790613e-06,-4.740493444017254e-06
1.2156752824934784e-06,4.804377369924006e-06,-4.804378097667301e-06
1.1753739010373744e-06,4.864855588166223e-06,-4.864856324982535e-06
1.1339500048708515e-06,4.92125007757592e-06,-4.921250824733918e-06
1.091416047247942e-06,4.972134358265744e-06,-4.972135118381207e-06
1.0477852950309212e-06,5.016676584173142e-06,-5.016677350028917e-06
1.003071826317759e-06,5.054867750328176e-06,-5.054868523309233e-06
9.57290527527455e-07,5.0877948707565055e-06,-5.087795656049691e-06
9.104570899410503e-07,5.115540204913398e-06,-5.1155409913476085e-06
8.625880056964286e-07,5.137360233885894e-06,-5.137361023810418e-06
8.137005632353588e-07,5.152018794144944e-06,-5.152019588809167e-06
7.63812842201562e-07,5.1594056001230045e-06,-5.159406394976623e-06
7.129437077889248e-07,5.159961875158374e-06,-5.159962678214258e-06
6.611128045393262e-07,5.154743554047852e-06,-5.154744370922791e-06
6.083405495898789e-07,5.14388343364715e-06,-5.143884260096493e-06
5.546481253697488e-07,5.126439312016462e-06,-5.1264401407610965e-06
5.000574717470464e-07,5.101831770447972e-06,-5.101832600736138e-06
4.4459127762665156e-07,5.069484332518433e-06,-5.069485168291214e-06
3.882729720001746e-07,5.0298714644895365e-06,-5.029872309777055e-06
3.311267144496189e-07,4.982617652346073e-06,-4.982618481781854e-06
2.731773851066645e-07,4.926725492963111e-06,-4.92672629689802e-06
2.1445057406984934e-07,4.863228040473935e-06,-4.863228831369193e-06
1.5497257028228905e-07,4.792906127351558e-06,-4.792906899774781e-06
9.477034987293253e-08,4.7155951946226805e-06,-4.715595945890932e-06
3.3871563964716135e-08,4.631599179060047e-06,-4.631599906454624e-06
-2.769547404665784e-08,4.540378399486928e-06,-4.540379109020766e-06
-8.990180173922996e-08,4.441434729013272e-06,-4.441435423688165e-06
-1.5271782143212536e-07,4.335319826797176e-06,-4.335320502571746e-06
-2.1611331446890981e-07,4.222175212239852e-06,-4.222175868209093e-06
-2.800574560117756e-07,4.102862442162772e-06,-4.102863080080163e-06
-3.445188303410087e-07,3.977815815837516e-06,-3.977816316669877e-06
-4.094654466538222e-07,3.847073631648317e-06,-3.847074059582373e-06
-4.7486475535627714e-07,3.710174809761032e-06,-3.71017527073486e-06
-5.406836648416478e-07,3.5673838347595547e-06,-3.567384259440104e-06
-6.068885587482251e-07,3.419512422784298e-06,-3.4195128198689585e-06
-6.734453136891889e-07,3.266298202727616e-06,-3.266298685133385e-06
-7.403193174468193e-07,3.1074674879135337e-06,-3.1074679873825797e-06
-8.074754876229577e-07,2.9417970400559493e-06,-2.941797513091952e-06
-8.748782907372703e-07,2.7687880361374102e-06,-2.768788447106996e-06
-9.424917617645081e-07,2.589814901398463e-06,-2.589815155796812e-06
-1.0102795241016077e-06,2.4055351464732093e-06,-2.4055353167018865e-06
-1.0782048099551223e-06,2.2157526099226e-06,-2.215752687670729e-06
-1.1462304811391231e-06,2.02097682231777e-06,-2.0209768090793613e-06
-1.214319050273367e-06,1.8208171356344728e-06,-1.8208170307449125e-06
-1.2824327023711824e-06,1.6153641588186345e-06,-1.6153639648770687e-06
-1.3505333168061807e-06,1.4052032653181189e-06,-1.4052029996962002e-06
-1.418582489646577e-06,1.1901519507384702e-06,-1.1901515974053988e-06
-1.4865415563455541e-06,9.69692973260542e-07,-9.696925113783908e-07
-1.5543716147757905e-06,7.435519048864485e-07,-7.435513446688666e-07
-1.6220335485959415e-06,5.124356930300931e-07,-5.124350701036823e-07
-1.6894880509365454e-06,2.77155949763376e-07,-2.7715526797329937e-07
-1.7566956483925135e-06,3.72231020947353e-08,-3.722237428690571e-08
-1.8236167253090516e-06,2.0837590268298413e-07,-2.0837512517277e-07
-1.8902115483475648e-06,4.589228565105012e-07,-4.589220146417782e-07
-1.9564402913177858e-06,7.137131805109993e-07,-7.137122711865308e-07
-2.022263060262094e-06,9.720532803967211e-07,-9.720522794366863e-07
-2.0876399187776947e-06,1.2333884018703402e-06,-1.2333872976061915e-06
-2.1525309135620554e-06,1.4988674993877714e-06,-1.498866441358076e-06
-2.216896100166726e-06,1.7691774955250394e-06,-1.7691765586740703e-06
-2.280695568944405e-06,2.0429961963369475e-06,-2.04299529763546e-06
-2.3438894711738613e-06,2.3197157924121617e-06,-2.319714839376361e-06
-2.4064380453470686e-06,2.5994953862403425e-06,-2.599494331243635e-06
-2.4683016436026778e-06,2.882113728585544e-06,-2.8821126310392507e-06
-2.5294407582897176e-06,3.16761898972854e-06,-3.167617814060933e-06
-2.589816048645193e-06,3.4555999513723827e-06,-3.455598658454936e-06
-2.6493883675690416e-06,3.745184433708549e-06,-3.7451830535248512e-06
-2.7081187884797056e-06,4.037533690855494e-06,-4.037532266724352e-06
-2.7659686322333724e-06,4.33298210925514e-06,-4.332980618575048e-06
-2.8228994940897844e-06,4.630014736793009e-06,-4.630013149904215e-06
-2.878873270707313e-06,4.927580248320171e-06,-4.927578542728189e-06
-2.933852187149844e-06,5.225746860631022e-06,-5.225745040961568e-06
-2.9877988238878846e-06,5.524521528511838e-06,-5.524519550371304e-06
-3.040676143776141e-06,5.822595162409946e-06,-5.822592951376008e-06
-3.0924475189896966e-06,6.11843840971269e-06,-6.118436002946351e-06
-3.1430767579008215e-06,6.410705830693798e-06,-6.410703329116648e-06
