nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0004,-3.925718481050211e-13
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0008,-1.2322354711999367e-12
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0012000000000000001,-4.289043243116664e-11
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0016,-1.1781694974436143e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.002,-1.8364690733368141e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0024000000000000002,-2.50267123170223e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0028000000000000004,-3.218010684602288e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0032000000000000006,-3.985153832466784e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0036000000000000008,-4.801381468024505e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.004000000000000001,-5.667203865058374e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.004400000000000001,-6.091749689202796e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.004800000000000001,-5.675533595631909e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0052000000000000015,-5.236471384398475e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.005600000000000002,-5.665290616534565e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.006000000000000002,-5.847548439852057e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.006400000000000002,-5.922769370109633e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.006800000000000002,-6.747882725201227e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.007200000000000002,-7.947371949706776e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.007600000000000003,-8.855796825198764e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.008000000000000002,-9.184940533532143e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.008400000000000001,-1.1275806614318918e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0088,-8.649421534353445e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0092,-1.349600361369144e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0096,5.730378811197918e-10
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.009999999999999998,1.4434447024959523e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.010399999999999998,2.0835636226605878e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.010799999999999997,2.2790735261716798e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.011199999999999996,2.6360285667670213e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.011599999999999996,3.458914901750082e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.011999999999999995,4.394385330259751e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.012399999999999994,5.107265199024563e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.012799999999999994,5.766017576494171e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.013199999999999993,6.6765686705583265e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.013599999999999992,7.920192140850631e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.013999999999999992,9.304896580053673e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.014399999999999991,1.0572696366039163e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.01479999999999999,1.1734701990723977e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.01519999999999999,1.3043256694739335e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.015599999999999989,1.469980513741853e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.01599999999999999,1.643061303879423e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.01639999999999999,1.7935695700319116e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.016799999999999992,1.9690959347274807e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.017199999999999993,2.1521880030877435e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.017599999999999994,2.355519337050749e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.017999999999999995,2.5577955452693024e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.018399999999999996,2.690001379623915e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.018799999999999997,2.8020774071668646e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0192,2.9673001858300683e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0196,3.151810916701338e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.02,3.301843867455546e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.0204,3.411166344374018e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.020800000000000003,3.502598558767354e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.021200000000000004,3.6049720057415876e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.021600000000000005,3.730633972865824e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.022000000000000006,3.8366260510950336e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.022400000000000007,3.9150299989080785e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.022800000000000008,3.979809595010238e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.02320000000000001,3.997934326809133e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.02360000000000001,3.961388647345012e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.02400000000000001,3.8707867670584356e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.024400000000000012,3.679304436380868e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.024800000000000013,3.412393032652989e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.025200000000000014,3.1170421056793856e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.025600000000000015,2.7508740226398488e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.026000000000000016,2.271207350338051e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.026400000000000017,1.7318769744336602e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.026800000000000018,1.154954908209282e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.02720000000000002,5.097479525000837e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.02760000000000002,-2.266009169091225e-09
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.02800000000000002,-1.0821006640894625e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.028400000000000022,-2.029658280809816e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.028800000000000023,-3.0967295856460384e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.029200000000000025,-4.234256076560207e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.029600000000000026,-5.430110280991348e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.030000000000000027,-6.759663512309363e-08
15,1,1.96,0.025,1.57,1,2000,33316,0.0004,13.3264,0.000122061,0.030400000000000028,-8.195379553925898e-08
