nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.018399999999999996,-4.180099684428313e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.018799999999999997,-4.322295164890206e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0192,-4.50338003572009e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0196,-4.696991154062613e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.02,-4.8670020219095085e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0204,-5.051987802009148e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.020800000000000003,-5.260666455327327e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.021200000000000004,-5.447591447378711e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.021600000000000005,-5.600368058730765e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.022000000000000006,-5.765417004807779e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.022400000000000007,-5.9854575361638986e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.022800000000000008,-6.215481026221911e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.02320000000000001,-6.418226946019171e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.02360000000000001,-6.629549395109923e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.02400000000000001,-6.866706771135434e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.024400000000000012,-6.965549828334111e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.024800000000000013,-6.938995488827051e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.025200000000000014,-7.008726852658198e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.025600000000000015,-7.126629768239723e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.026000000000000016,-7.1544979173757615e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.026400000000000017,-7.054913766525129e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.026800000000000018,-6.958951378368806e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.02720000000000002,-6.890066024301446e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.02760000000000002,-6.812873177469367e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.02800000000000002,-6.769815522292601e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.028400000000000022,-6.7418474597578595e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.028800000000000023,-6.7294921734630186e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.029200000000000025,-6.684648420167036e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.029600000000000026,-6.6010016094988065e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.030000000000000027,-6.546662739539615e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.030400000000000028,-6.552036192706475e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03080000000000003,-6.5490995009996865e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03120000000000003,-6.54501667541013e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03160000000000003,-6.552708560639179e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03200000000000003,-6.582522020067527e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.032400000000000026,-6.583282168932791e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.032800000000000024,-6.479019949880279e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03320000000000002,-6.3441170914898506e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03360000000000002,-6.2130312161575745e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.034000000000000016,-5.990345041014366e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.034400000000000014,-5.7313822641055954e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03480000000000001,-5.59360192306758e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03520000000000001,-5.4818707936278035e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03560000000000001,-5.286716838044859e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.036000000000000004,-5.0741936650505795e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0364,-4.931728875514022e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0368,-4.725144022776373e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0372,-4.530498620931909e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.037599999999999995,-4.452774837376091e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03799999999999999,-4.2120474971073306e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03839999999999999,-3.879523860064546e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03879999999999999,-3.519119336880765e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.039199999999999985,-3.0763521376583216e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03959999999999998,-2.73232396723913e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.03999999999999998,-2.4503608864323446e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04039999999999998,-2.085320236321696e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.040799999999999975,-1.6830866872830305e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04119999999999997,-1.2535539191238523e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04159999999999997,-8.572715837667738e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04199999999999997,-5.942880479631098e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.042399999999999965,-3.8042024995860467e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04279999999999996,-1.0817970810198946e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04319999999999996,2.4345939090235197e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04359999999999996,5.774931441157437e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.043999999999999956,8.62839445995833e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04439999999999995,1.1426656275095942e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04479999999999995,1.4966866648273056e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04519999999999995,1.8827255294576387e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.045599999999999946,2.2108616133155036e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.045999999999999944,2.5177298628234408e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04639999999999994,2.8011563128271406e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04679999999999994,3.115121453675105e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.047199999999999936,3.4895381314428847e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.047599999999999934,3.791853335216587e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04799999999999993,4.102283684917897e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04839999999999993,4.468739489260246e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04879999999999993,4.778163778890777e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.049199999999999924,5.072968861636179e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04959999999999992,5.335446107175524e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.04999999999999992,5.581546249782456e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05039999999999992,5.793800134873567e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.050799999999999915,5.991463584479937e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05119999999999991,6.351967485743269e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05159999999999991,6.76671230911048e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05199999999999991,7.021258719397749e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.052399999999999905,7.2428930199749706e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0527999999999999,7.421321515829919e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0531999999999999,7.4240305342941784e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0535999999999999,7.40207349791134e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.053999999999999895,7.346013137637801e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05439999999999989,7.161845206993691e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05479999999999989,6.767079308794349e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05519999999999989,6.305968573801641e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.055599999999999886,5.817849902319871e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05599999999999988,5.1360535745876e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05639999999999988,4.4170642143467245e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05679999999999988,3.680864923879328e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.057199999999999876,2.7541781129395478e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.057599999999999874,1.7171312354109585e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05799999999999987,7.514866953703077e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05839999999999987,-1.8628756151648146e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.058799999999999866,-1.224494932730238e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.059199999999999864,-2.300746147560412e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05959999999999986,-3.4330877380565557e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.05999999999999986,-4.610323285493473e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06039999999999986,-5.682842582998444e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.060799999999999854,-6.759916339217004e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06119999999999985,-7.919716272418218e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06159999999999985,-9.07182560426858e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06199999999999985,-1.0291331972197427e-08
