nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0004,-3.9267088776116647e-13
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0008,-1.233349496016578e-12
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0012000000000000001,-3.928323015966509e-11
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0016,-1.0978944389503879e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.002,-1.743937988907586e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0024000000000000002,-2.3937512485415234e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0028000000000000004,-3.076012690691867e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0032000000000000006,-3.7909714326993196e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0036000000000000008,-4.537774178622408e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.004000000000000001,-5.315736501908467e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.004400000000000001,-6.124336852617834e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.004800000000000001,-6.96383387096651e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0052000000000000015,-7.833264436334435e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.005600000000000002,-8.733865106765832e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.006000000000000002,-9.665561854948863e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.006400000000000002,-1.0581614879821452e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.006800000000000002,-1.1442542016527895e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.007200000000000002,-1.2255985319724581e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.007600000000000003,-1.3050327403375567e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.008000000000000002,-1.3753140809352127e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.008400000000000001,-1.4256711922277933e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0088,-1.4780990370215922e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0092,-1.5578519146999075e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0096,-1.635184059869372e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.009999999999999998,-1.6892436845163095e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.010399999999999998,-1.510932779854335e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.010799999999999997,-1.056826032563815e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.011199999999999996,-4.663875240772051e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.011599999999999996,4.0697593091609487e-10
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.011999999999999995,1.3537054152480405e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.012399999999999994,1.983917028288327e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.012799999999999994,2.5964123626841112e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.013199999999999993,3.780329022411889e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.013599999999999992,5.385536757206931e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.013999999999999992,6.797768318337104e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.014399999999999991,8.198232944158446e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.01479999999999999,9.941361861069103e-09
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.01519999999999999,1.1768080615787699e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.015599999999999989,1.3460811539486074e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.01599999999999999,1.528915464191595e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.01639999999999999,1.7276967794121998e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.016799999999999992,1.934262765003875e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.017199999999999993,2.157026729288397e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.017599999999999994,2.3940885410165817e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.017999999999999995,2.650082226779794e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.018399999999999996,2.91515089634492e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.018799999999999997,3.1962522573474e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0192,3.464702949873438e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0196,3.725595739857013e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.02,4.000289854401954e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.0204,4.2792423617921146e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.020800000000000003,4.580350410190916e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.021200000000000004,4.8992955083890106e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.021600000000000005,5.2349403859237164e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.022000000000000006,5.554898686113093e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.022400000000000007,5.86267561290368e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.022800000000000008,6.186853239036949e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.02320000000000001,6.535246146666681e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.02360000000000001,6.888201603954698e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.02400000000000001,7.256477043210282e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.024400000000000012,7.685675379823796e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.024800000000000013,8.103794506930238e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.025200000000000014,8.51220780134151e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.025600000000000015,8.959934793031144e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.026000000000000016,9.419497901706379e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.026400000000000017,9.889080878431918e-08
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.026800000000000018,1.0376646991646281e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.02720000000000002,1.0893349576197675e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.02760000000000002,1.1421010998596488e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.02800000000000002,1.1950367713116687e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.028400000000000022,1.249231335994568e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.028800000000000023,1.3039082295487626e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.029200000000000025,1.3605822506200777e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.029600000000000026,1.419181681060261e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.030000000000000027,1.4801490745748236e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.030400000000000028,1.5411835269859162e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.03080000000000003,1.6019812121602676e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.03120000000000003,1.66660640200486e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.03160000000000003,1.7330551609884183e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.03200000000000003,1.8001897122041409e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.032400000000000026,1.869036753064096e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.032800000000000024,1.9395702459357105e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.03320000000000002,2.0108697841552337e-07
6,1,1.265,0.025,1.57,1,500,10000,0.0004,4,3.28435e-06,0.03360000000000002,2.0814163503132374e-07
